Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster
United States,Y,N,N,Gaming,1996,Founder,34,The Consistent
China,Y,Y,N,Manufacturing,NA,NA,NA,The Consistent
China,Y,N,N,Manufacturing,2005,Relation,41,The Consistent
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent
United States,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Technology,NA,NA,NA,The Consistent
Canada,Y,Y,N,Finance,NA,NA,NA,The Ghost
Australia,N,N,N,Real Estate,1939,NA,4,The Consistent
United States,Y,Y,N,Investments,1974,Investor,42,The Ghost
France,N,N,N,Health care,1897,Relation,-41,The Consistent
United States,N,Y,Y,Food and Beverage,NA,NA,NA,The Consistent
Sweden,Y,N,N,Service,1965,Founder,24,The Consistent
Hong Kong,Y,N,N,Manufacturing,1994,NA,53,The Consistent
United States,Y,N,N,Media,1998,CEO,55,The Consistent
United States,N,Y,Y,Energy,1919,Relation,-29,The Consistent
United States,Y,Y,N,Retail,NA,NA,NA,The Consistent
United States,Y,N,N,Fashion and Retail,1975,Founder,25,The Consistent
Russia,Y,Y,N,Construction and Engineering,1954,Chairman,-8,The Hustler
United States,Y,Y,N,Software,1999,NA,35,The Consistent
France,N,N,N,Food and Beverage,1933,NA,-35,The Consistent
France,N,N,N,Food and Beverage,1933,NA,-48,The Consistent
Taiwan,Y,N,N,Automotive,1967,NA,42,The Consistent
Brazil,N,N,N,Diversified,NA,NA,NA,The Consistent
Swaziland,Y,Y,N,Retail,NA,NA,NA,The Consistent
Thailand,Y,N,N,Finance,NA,NA,NA,The Consistent
Brazil,N,Y,N,Manufacturing,1918,Relation,-11,The Hustler
Japan,N,N,N,Gaming,1889,Relation,-39,The Ghost
Brazil,N,Y,N,Diversified,NA,NA,NA,The Consistent
Germany,N,N,N,Media,1946,Relation,3,The Consistent
United States,Y,N,N,Manufacturing,1982,NA,36,The Consistent
United States,N,N,N,Food and Beverage,NA,NA,NA,The Consistent
United States,N,Y,N,Food and Beverage,1869,Relation,-81,The Consistent
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Consistent
Egypt,N,Y,N,Telecom,1950,Relation,-5,The Consistent
United States,N,Y,N,Diversified,1946,Relation,18,The Consistent
United States,N,Y,N,Manufacturing,1886,Relation,-45,The Consistent
United States,Y,Y,N,Energy,NA,NA,NA,The Consistent
United States,Y,Y,N,Finance,NA,NA,NA,The Consistent
Brazil,Y,N,N,Retail,1927,NA,-8,The Consistent
Germany,Y,N,N,Manufacturing,1973,Founder,35,The Consistent
Italy,N,Y,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Food and Beverage,1946,Former Ceo,5,The Consistent
Denmark,N,N,N,Health care,1957,NA,9,The Consistent
Brazil,N,N,N,Media,NA,NA,NA,The Consistent
Japan,N,Y,N,Real Estate,NA,NA,NA,The Ghost
Taiwan,Y,Y,N,Technology,1988,Founder,39,The Consistent
Germany,Y,N,N,Retail,NA,NA,NA,The Ghost
Saudi Arabia,Y,Y,N,Food and Beverage,1997,NA,44,The Consistent
United States,N,Y,Y,Manufacturing,1886,Relation,-70,The Consistent
Brazil,N,N,N,Media,1925,NA,-31,The Consistent
United States,N,Y,N,Manufacturing,1886,Relation,-71,The Consistent
China,Y,Y,N,Manufacturing,1989,Founder,33,The Consistent
United States,N,Y,Y,Manufacturing,1886,Relation,-73,The Consistent
United States,N,Y,N,Manufacturing,1886,Relation,-73,The Consistent
United States,Y,Y,N,Sports,1983,Founder,23,The Consistent
Germany,Y,N,N,Technology,1988,NA,25,The Consistent
India,Y,N,Y,Media,NA,NA,NA,The Consistent
China,Y,N,N,Technology,2000,NA,28,The Consistent
France,N,N,N,Construction and Engineering,NA,NA,NA,The Consistent
United States,Y,N,N,Manufacturing,1949,Founder,20,The Consistent
United States,N,Y,Y,Investments,NA,NA,NA,The Consistent
Philippines,Y,Y,N,Diversified,1982,NA,48,The Consistent
United States,Y,Y,Y,Real Estate,1978,NA,38,The Consistent
United States,Y,Y,N,Real Estate,1973,NA,31,The Consistent
United States,Y,Y,N,Service,1973,Founder,28,The Consistent
United States,Y,Y,N,Media,1994,Founder,48,The Consistent
United States,Y,Y,Y,Fashion and Retail,NA,NA,NA,The Consistent
Israel,Y,N,N,Real Estate,1992,NA,44,The Consistent
Germany,N,N,N,Automotive,1919,NA,-29,The Consistent
United States,Y,Y,N,Finance,1979,Founder,29,The Consistent
Germany,N,N,N,Retail,1923,Relation,-29,The Consistent
Germany,N,N,N,Retail,1923,Relation,-30,The Consistent
Brazil,N,N,N,Media,1925,Relation,-29,The Consistent
India,N,Y,Y,Health care,1984,Founder,29,The Consistent
Australia,Y,Y,N,Automotive,1986,NA,30,The Consistent
Turkey,N,Y,N,Food and Beverage,1944,NA,-15,The Consistent
Venezuela,Y,N,N,Finance,1986,NA,27,The Consistent
Germany,N,N,N,Retail,1923,Relation,-41,The Consistent
Germany,N,N,N,Retail,1923,Relation,-42,The Consistent
Russia,Y,Y,N,Investments,NA,NA,NA,The Ghost
Spain,N,N,N,Real Estate,NA,NA,NA,The Ghost
Japan,Y,N,N,Retail,NA,NA,NA,The Consistent
United States,N,Y,N,Finance,NA,NA,NA,The Consistent
United States,Y,Y,N,Health care,1972,NA,36,The Consistent
United Kingdom,N,N,N,Real Estate,1712,Relation,-226,The Hustler
Japan,Y,N,N,Manufacturing,1973,Founder,29,The Consistent
United States,Y,Y,Y,Investments,1935,Leadership,-12,The Consistent
China,Y,N,N,Real Estate,1991,NA,40,The Consistent
United States,N,Y,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Technology,1991,Founder,37,The Consistent
Japan,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent
Mexico,N,Y,Y,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Real Estate,1994,Founder,35,The Consistent
United States,N,N,N,Automotive,NA,NA,NA,The Consistent
United Kingdom,Y,N,N,Gaming,2000,NA,33,The Consistent
Russia,Y,Y,N,Automotive,1964,NA,-5,The Consistent
Philippines,N,N,N,Finance,1962,NA,29,The Consistent
United States,Y,Y,N,Real Estate,1961,Founder,26,The Consistent
United States,Y,Y,N,Sports,1983,Founder,47,The Consistent
India,N,N,Y,Automotive,1926,Relation,-13,The Consistent
Germany,N,N,N,Food and Beverage,NA,NA,NA,The Consistent
United States,N,Y,N,Technology,1965,Relation,23,The Consistent
United States,Y,N,N,Food and Beverage,1965,NA,24,The Consistent
United States,N,N,N,Investments,NA,NA,NA,The Consistent
United States,N,Y,N,Real Estate,1920,NA,-27,The Consistent
Denmark,Y,N,N,Retail,NA,NA,NA,The Consistent
Russia,Y,Y,N,Telecom,1993,Founder/Chairman,45,The Consistent
Germany,N,N,N,Food and Beverage,1949,NA,-5,The Consistent
India,Y,N,N,Construction and Engineering,1979,Chairman,25,The Consistent
China,Y,N,N,Food and Beverage,1720,NA,-236,The Consistent
Finland,N,N,N,Manufacturing,1910,Relation,-47,The Consistent
Colombia,N,N,Y,Finance,NA,NA,NA,The Consistent
Germany,N,N,N,Real Estate,NA,NA,NA,The Consistent
Russia,Y,Y,Y,Investments,1999,Founder,38,The Consistent
Mexico,N,N,Y,Food and Beverage,NA,NA,NA,The Ghost
Chile,N,N,N,Retail,NA,NA,NA,The Ghost
Chile,N,N,N,Retail,NA,NA,NA,The Ghost
Japan,Y,N,N,Gaming,NA,NA,NA,The Consistent
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,Y,Real Estate,NA,NA,NA,The Ghost
United States,N,Y,N,Investments,1929,CEO/Chairman,-7,The Consistent
United States,Y,Y,N,Health care,1963,Founder,30,The Hustler
France,N,N,N,Investments,1851,Relation,-82,The Ghost
Spain,Y,N,N,Fashion and Retail,NA,NA,NA,The Ghost
Philippines,Y,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Health care,1984,NA,31,The Consistent
United States,Y,Y,Y,Real Estate,NA,Founder,NA,The Consistent
Czech Republic,Y,N,N,Food and Beverage,1993,NA,39,The Consistent
China,Y,N,N,Manufacturing,1995,NA,39,The Consistent
United States,Y,Y,N,Media,1995,NA,37,The Consistent
Philippines,N,N,N,Logistics,NA,NA,NA,The Consistent
United States,N,Y,Y,Service,NA,NA,NA,The Consistent
China,Y,N,N,Metals and Mining,NA,NA,NA,The Hustler
China,Y,N,N,Diversified,1989,Founder,27,The Consistent
India,Y,Y,N,Diversified,NA,NA,NA,The Ghost
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent
Russia,Y,Y,N,Construction and Engineering,1999,NA,34,The Consistent
United States,Y,Y,N,Software,1994,Founder,28,The Consistent
China,Y,N,N,Retail,NA,NA,NA,The Hustler
Brazil,N,Y,N,Retail,NA,NA,NA,The Consistent
Sweden,Y,N,Y,Investments,1984,NA,47,The Consistent
United States,N,N,N,Agriculture,NA,NA,NA,The Ghost
United States,Y,Y,N,Sports,NA,NA,NA,The Consistent
Germany,Y,N,Y,Health care,1984,NA,41,The Consistent
United States,Y,N,N,Energy,NA,NA,NA,The Consistent
Canada,Y,N,N,Retail,NA,NA,NA,The Consistent
Hong Kong,Y,N,N,Real Estate,1977,NA,26,The Consistent
China,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
Israel,Y,N,N,Technology,1961,Founder,6,The Consistent
Brazil,Y,N,N,Food and Beverage,1994,Founder,39,The Consistent
China,Y,Y,N,Technology,2000,Chairman,44,The Consistent
China,Y,Y,N,Diversified,2005,Founder,43,The Consistent
China,Y,Y,N,Energy,1992,Founder,29,The Consistent
United States,Y,Y,N,Finance,1995,Founder,31,The Consistent
Norway,N,N,N,Retail,NA,NA,NA,The Consistent
Russia,Y,Y,N,Finance,NA,NA,NA,The Hustler
India,N,Y,N,Diversified,NA,NA,NA,The Hustler
Switzerland,N,N,N,Retail,1986,Founder,58,The Ghost
United States,Y,Y,Y,Media,NA,NA,NA,The Consistent
United States,Y,Y,N,Real Estate,1969,NA,32,The Consistent
Australia,Y,N,N,Logistics,1956,Founder,19,The Consistent
United States,Y,Y,N,Health care,1963,Founder,32,The Ghost
United States,Y,Y,N,Retail,NA,NA,NA,The Hustler
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,N,Y,N,Fashion and Retail,1946,Relation,2,The Consistent
Hong Kong,Y,Y,N,Health care,1998,Chairman,54,The Consistent
Brazil,Y,N,N,Health care,1977,NA,33,The Consistent
United States,N,Y,N,Food and Beverage,1869,NA,-77,The Consistent
Italy,Y,N,Y,Fashion and Retail,1913,NA,-33,The Consistent
Brazil,N,Y,N,Diversified,1924,Relation,-23,The Consistent
Italy,N,N,N,Fashion and Retail,1913,Relation,-37,The Consistent
United States,N,Y,Y,Real Estate,1957,Relation,6,The Consistent
India,Y,N,N,Metals and Mining,1976,Founder,22,The Consistent
United States,Y,Y,Y,Investments,1972,Partner,17,The Consistent
Brazil,N,Y,N,Finance,1926,Relation,-30,The Consistent
Brazil,N,Y,N,Diversified,1924,Relation,-36,The Consistent
United States,Y,Y,N,Finance,1994,Founder,33,The Consistent
South Korea,N,Y,N,Diversified,2009,Chairman,48,The Consistent
Brazil,N,N,N,Diversified,1924,Relation,-38,The Consistent
China,Y,Y,N,Real Estate,1995,NA,30,The Consistent
China,Y,Y,Y,Technology,2001,Founder,35,The Consistent
Chile,N,N,N,Retail,NA,NA,NA,The Ghost
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent
Philippines,Y,N,N,Construction and Engineering,1954,NA,33,The Consistent
United States,N,Y,Y,Construction and Engineering,1898,Relation,-28,The Consistent
Switzerland,Y,N,N,Service,1928,Relation,0,The Consistent
Hong Kong,N,N,N,Energy,NA,NA,NA,The Hustler
Thailand,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost
Saudi Arabia,N,N,N,Investments,1953,Relation,24,The Ghost
United States,N,N,N,Energy,NA,NA,NA,The Consistent
France,Y,N,N,Finance,1991,Founder/Ceo,51,The Consistent
United Kingdom,Y,N,N,Real Estate,1979,Founder,41,The Hustler
United States,Y,N,N,Fashion and Retail,1980,Founder,36,The Consistent
Algeria,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent
Chile,Y,N,N,Manufacturing,NA,NA,NA,The Consistent
Germany,Y,N,N,Health care,1986,NA,37,The Consistent
Brazil,N,Y,N,Construction and Engineering,1939,Relation,-11,The Consistent
Germany,Y,N,Y,Health care,1986,Founder,37,The Consistent
Brazil,N,Y,N,Construction and Engineering,1939,NA,-12,The Consistent
United States,N,Y,Y,Construction and Engineering,1898,Relation And Chairman,-54,The Consistent
Brazil,N,N,N,Construction and Engineering,1939,NA,-15,The Consistent
Israel,N,N,N,Diversified,NA,NA,NA,The Consistent
China,Y,N,N,Food and Beverage,1951,NA,-6,The Consistent
Norway,Y,Y,Y,Finance,1999,Founder/Ceo,38,The Consistent
China,Y,N,N,Manufacturing,1993,Founder/Chairman,30,The Consistent
United States,Y,Y,N,Software,2002,NA,35,The Consistent
Israel,Y,N,N,Gaming,NA,NA,NA,The Consistent
Russia,Y,N,N,Real Estate,NA,NA,NA,The Consistent
Angola,N,Y,N,Investments,1997,Founder,24,The Consistent
Japan,Y,N,N,Technology,2004,NA,29,The Consistent
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent
Taiwan,Y,N,N,Finance,1961,Founder,32,The Hustler
United States,N,N,N,Investments,1919,CEO/Chairman,-7,The Ghost
United States,Y,Y,Y,Investments,1979,Founder,44,The Hustler
United States,N,N,N,Food and Beverage,1950,NA,12,The Consistent
India,N,N,N,Media,1838,Relation,-99,The Consistent
Mexico,Y,N,N,Manufacturing,1998,Honorary President For Life,59,The Consistent
Hong Kong,N,Y,Y,Real Estate,1958,Relation,19,The Consistent
United States,Y,Y,N,Media,1964,Founder,27,The Hustler
United States,Y,Y,N,Service,1971,NA,30,The Consistent
India,Y,N,N,Construction and Engineering,1975,NA,34,The Consistent
Canada,Y,Y,N,Health care,1959,Relation,17,The Consistent
United States,Y,Y,Y,Finance,1991,Founder,48,The Consistent
Japan,Y,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,N,N,Media,1988,Founder,44,The Consistent
Turkey,Y,Y,Y,Finance,NA,NA,NA,The Consistent
United States,N,Y,N,Energy,1919,Relation,-27,The Consistent
United States,Y,Y,N,Software,2002,NA,55,The Consistent
United States,Y,Y,N,Food and Beverage,1971,NA,18,The Hustler
United States,Y,Y,N,Media,2013,Founder,59,The Consistent
Italy,Y,N,N,Fashion and Retail,1978,NA,23,The Consistent
United States,Y,Y,N,Technology,1991,Founder,32,The Consistent
Russia,Y,Y,N,Logistics,1957,NA,-8,The Consistent
Russia,Y,N,N,Real Estate,NA,Founder,NA,The Consistent
Russia,Y,N,N,Logistics,1958,Chairman,-10,The Consistent
Australia,N,N,N,Diversified,1936,Relation,-32,The Consistent
St. Kitts and Nevis,Y,N,N,Fashion and Retail,1999,NA,28,The Consistent
United States,Y,Y,N,Finance,2003,Founder,30,The Consistent
United States,Y,Y,N,Technology,2005,Founder,28,The Consistent
United Kingdom,Y,N,N,Sports,1974,NA,44,The Consistent
United States,N,N,N,Retail,1886,Relation,-43,The Hustler
Morocco,Y,N,N,Diversified,1948,Founder,20,The Hustler
Spain,Y,N,N,Construction and Engineering,1911,CEO/Chairman,-21,The Consistent
United States,N,N,N,Retail,1886,NA,-45,The Hustler
United States,Y,Y,Y,Real Estate,1970,Founder,32,The Consistent
Brazil,Y,N,N,Finance,1955,Founder,21,The Hustler
France,N,N,N,Food and Beverage,1936,Relation,-7,The Consistent
Singapore,Y,Y,N,Technology,1984,NA,40,The Consistent
United Kingdom,N,Y,N,Construction and Engineering,1945,Relation,-1,The Consistent
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent
United States,Y,Y,N,Manufacturing,1989,NA,41,The Consistent
United States,N,N,N,Automotive,NA,NA,NA,The Consistent
United States,N,Y,N,Manufacturing,1670,Relation,-282,The Consistent
China,Y,N,N,Food and Beverage,1984,Founder,31,The Consistent
United States,N,Y,Y,Energy,1919,Relation,-38,The Consistent
United States,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent
Norway,Y,N,N,Logistics,NA,Founder,NA,The Consistent
South Korea,Y,Y,N,Finance,1997,NA,39,The Consistent
United States,Y,Y,N,Finance,1995,NA,34,The Consistent
Canada,Y,Y,N,Health care,NA,NA,NA,The Consistent
United States,Y,Y,N,Media,NA,NA,NA,The Consistent
Norway,N,Y,N,Logistics,NA,NA,NA,The Consistent
Thailand,Y,N,N,Health care,1969,Founder,37,The Consistent
United States,Y,Y,N,Service,NA,NA,NA,The Consistent
United States,Y,Y,N,Real Estate,1960,Founder,26,The Consistent
Netherlands,Y,N,N,Investments,NA,Relation,NA,The Consistent
Austria,N,N,N,Retail,NA,NA,NA,The Consistent
United States,N,Y,N,Health care,1886,Relation,-51,The Ghost
United States,N,Y,Y,Energy,1919,Relation,-23,The Consistent
United States,Y,N,N,Media,1986,CEO/Chairman,44,The Consistent
Chile,N,Y,N,Manufacturing,1920,Relation,-24,The Consistent
Chile,N,Y,Y,Manufacturing,1920,NA,-26,The Hustler
United Kingdom,Y,N,N,Finance,1981,Founder,35,The Consistent
United States,Y,Y,N,Real Estate,1979,NA,30,The Hustler
Hong Kong,Y,N,N,Real Estate,1990,NA,39,The Consistent
Indonesia,Y,Y,Y,Diversified,NA,NA,NA,The Consistent
United States,N,N,N,Health care,1941,Relation,-15,The Consistent
Chile,N,Y,N,Manufacturing,1920,NA,-36,The Consistent
Spain,N,Y,Y,Construction and Engineering,1952,Relation,-7,The Hustler
China,Y,N,Y,Diversified,2000,NA,40,The Consistent
United States,Y,Y,Y,Investments,2006,NA,45,The Consistent
United States,N,Y,N,Food and Beverage,1891,Relation,-73,The Consistent
Israel,Y,N,N,Software,1993,Founder,26,The Consistent
Germany,N,N,N,Media,1875,Relation,-102,The Consistent
Germany,N,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,N,N,Food and Beverage,1851,CEO/Chairman,-72,The Consistent
United States,Y,N,N,Logistics,1961,Founder,30,The Consistent
United States,Y,Y,N,Health care,1941,NA,6,The Consistent
Portugal,N,N,N,Retail,NA,NA,NA,The Consistent
Italy,Y,N,N,Fashion and Retail,1965,Founder,30,The Consistent
United States,Y,N,N,Investments,1968,Founder,31,The Consistent
Italy,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
Singapore,N,N,N,Diversified,1948,Relation,7,The Hustler
United States,Y,N,N,Energy,1995,NA,54,The Consistent
Italy,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
India,N,Y,N,Manufacturing,1942,NA,-1,The Consistent
Italy,Y,N,N,Fashion and Retail,NA,Founder,NA,The Consistent
Ireland,N,N,N,Food and Beverage,1869,Relation,-75,The Consistent
United States,Y,Y,N,Finance,1977,NA,33,The Consistent
Canada,Y,Y,N,Technology,NA,NA,NA,The Consistent
Germany,N,N,N,Manufacturing,1961,Relation,14,The Consistent
Egypt,Y,N,Y,Diversified,1952,Relation,4,The Consistent
Germany,N,N,N,Construction and Engineering,1920,NA,-28,The Consistent
Switzerland,N,N,N,Investments,1912,Relation,-36,The Consistent
Chile,Y,N,N,Politics,1976,NA,27,The Consistent
Switzerland,N,N,N,Software,NA,Relation,NA,The Consistent
Peru,N,Y,Y,Finance,1994,Founder,35,The Consistent
India,N,Y,Y,Diversified,1980,NA,20,The Consistent
China,Y,N,N,Real Estate,1993,President,33,The Consistent
India,N,Y,N,Real Estate,NA,NA,NA,The Ghost
United States,Y,Y,Y,Finance,1990,Founder,28,The Consistent
China,Y,Y,N,Real Estate,1995,Founder,33,The Consistent
China,Y,N,N,Automotive,1995,NA,33,The Consistent
Poland,Y,N,N,Investments,1945,Investor,-18,The Consistent
United States,Y,Y,Y,Finance,1990,NA,26,The Consistent
Japan,Y,N,N,Telecom,1988,NA,24,The Hustler
Russia,Y,N,N,Manufacturing,1995,Founder,33,The Hustler
Russia,Y,Y,N,Manufacturing,1995,Founder,31,The Hustler
United States,Y,Y,N,Software,NA,Founder,NA,The Consistent
United States,Y,Y,N,Energy,1976,Founder,57,The Ghost
Saudi Arabia,Y,N,N,Investments,1979,NA,55,The Consistent
United States,Y,N,N,Sports,NA,NA,NA,The Consistent
Colombia,Y,N,N,Food and Beverage,1904,Relation,-27,The Consistent
United States,Y,Y,N,Fashion and Retail,1969,NA,38,The Consistent
Canada,Y,Y,N,Retail,NA,NA,NA,The Consistent
France,Y,N,Y,Service,1996,NA,61,The Consistent
Canada,N,Y,N,Retail,1956,Founder,27,The Ghost
Japan,N,N,N,Real Estate,NA,Relation,NA,The Consistent
Switzerland,N,N,N,Food and Beverage,1931,Relation,-11,The Consistent
United States,Y,N,N,Health care,1991,NA,47,The Consistent
Lebanon,Y,Y,N,Telecom,1982,Founder,38,The Consistent
Philippines,N,N,N,Diversified,NA,NA,NA,The Ghost
Germany,N,Y,N,Media,NA,NA,NA,The Ghost
Germany,Y,N,N,Retail,NA,NA,NA,The Consistent
France,Y,N,N,Food and Beverage,NA,NA,NA,The Consistent
Russia,Y,Y,N,Construction and Engineering,NA,Founder,NA,The Consistent
China,Y,Y,N,Health care,1993,Founder,41,The Hustler
Taiwan,N,N,N,Finance,1962,Relation,9,The Hustler
India,N,Y,N,Diversified,NA,NA,NA,The Hustler
United States,Y,Y,Y,Finance,NA,NA,NA,The Consistent
Lebanon,Y,Y,Y,Telecom,1982,Founder,27,The Consistent
Canada,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
Australia,Y,N,Y,Manufacturing,1948,NA,-17,The Consistent
United Kingdom,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
South Korea,N,Y,Y,Automotive,1967,Relation And Chairman,-4,The Consistent
United States,Y,N,N,Software,NA,Founder,NA,The Consistent
Spain,N,N,N,Manufacturing,1958,Relation,-3,The Hustler
Germany,N,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Consistent
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost
United States,Y,N,N,Diversified,NA,NA,NA,The Consistent
United States,Y,Y,N,Real Estate,1960,NA,24,The Consistent
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost
United States,Y,N,N,Energy,1981,NA,44,The Consistent
United States,Y,Y,Y,Investments,NA,NA,NA,The Consistent
United States,Y,Y,N,Finance,1982,NA,45,The Consistent
United States,Y,Y,N,Real Estate,1960,NA,22,The Consistent
India,N,N,N,Real Estate,1956,Founder,15,The Consistent
United States,Y,Y,N,Gaming,NA,Founder,NA,The Consistent
India,N,Y,N,Diversified,1897,Relation,-45,The Consistent
United States,Y,Y,N,Finance,1992,NA,50,The Consistent
Australia,N,N,N,Retail,1948,Relation,13,The Ghost
United States,Y,Y,Y,Finance,1971,Founder,28,The Consistent
United States,Y,Y,N,Automotive,NA,NA,NA,The Consistent
United States,Y,N,N,Real Estate,NA,Founder,NA,The Consistent
United States,Y,Y,Y,Finance,1987,Founder,41,The Consistent
United States,N,Y,N,Media,NA,NA,NA,The Consistent
India,N,Y,N,Diversified,1897,NA,-52,The Consistent
United States,Y,Y,Y,Finance,NA,NA,NA,The Consistent
United States,Y,N,N,Sports,1981,Founder,32,The Consistent
United States,Y,Y,N,Finance,1987,NA,38,The Consistent
Chile,Y,N,N,Finance,1871,NA,-79,The Consistent
Hong Kong,Y,N,N,Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Technology,1997,Founder,47,The Consistent
Sweden,Y,N,Y,Investments,1989,Investor,37,The Consistent
India,N,N,N,Diversified,1897,Relation,-55,The Consistent
United States,Y,Y,Y,Software,1993,Founder,41,The Consistent
Philippines,Y,Y,N,Diversified,NA,NA,NA,The Consistent
Greece,N,N,N,Retail,1952,Relation,-2,The Consistent
Spain,N,N,N,Investments,1952,Relation,-3,The Consistent
Romania,Y,N,N,Energy,NA,NA,NA,The Ghost
United States,N,Y,Y,Finance,1933,NA,-24,The Consistent
Switzerland,N,N,N,Technology,1976,Relation,19,The Consistent
Poland,Y,N,N,Media,1992,Founder,36,The Consistent
United Arab Emirates,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost
United States,N,Y,N,Health care,1941,Relation,-18,The Consistent
United States,N,Y,N,Sports,1953,NA,-7,The Consistent
United States,N,Y,Y,Real Estate,NA,NA,NA,The Consistent
Russia,Y,N,N,Investments,1999,NA,40,The Consistent
United States,N,N,N,Retail,NA,NA,NA,The Ghost
United States,N,Y,N,Service,NA,NA,NA,The Consistent
China,Y,Y,N,Technology,2001,NA,34,The Consistent
Spain,N,N,N,Manufacturing,1958,Relation,-7,The Hustler
United States,Y,Y,N,Finance,NA,NA,NA,The Ghost
China,Y,N,Y,Energy,NA,NA,NA,The Ghost
Brazil,N,Y,N,Finance,1925,Relation,4,The Consistent
United States,Y,Y,N,Real Estate,1960,NA,37,The Consistent
Turkey,N,N,N,Diversified,NA,NA,NA,The Consistent
Turkey,Y,Y,N,Construction and Engineering,1957,Founder,27,The Consistent
Japan,Y,N,N,Gaming,1973,Founder,31,The Consistent
United States,Y,Y,N,Health care,1979,Founder,36,The Consistent
Spain,Y,N,N,Gaming,NA,NA,NA,The Consistent
United States,Y,Y,Y,Food and Beverage,1990,NA,44,The Consistent
India,N,N,N,Construction and Engineering,1961,NA,12,The Hustler
United States,N,N,N,Sports,1944,Relation,-7,The Consistent
United States,N,Y,N,Real Estate,NA,NA,NA,The Consistent
United States,Y,Y,N,Media,1981,Founder,27,The Consistent
Singapore,N,N,N,Real Estate,1947,NA,-8,The Consistent
Turkey,N,N,N,Media,NA,Chairman,NA,The Ghost
Denmark,N,N,N,Fashion and Retail,1963,NA,5,The Consistent
Russia,Y,Y,N,Metals and Mining,NA,NA,NA,The Ghost
Russia,Y,Y,N,Finance,NA,NA,NA,The Consistent
China,Y,N,N,Retail,NA,NA,NA,The Consistent
Russia,Y,Y,N,Fashion and Retail,NA,NA,NA,The Consistent
India,Y,N,N,Energy,NA,NA,NA,The Ghost
United Kingdom,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Vietnam,Y,N,N,Real Estate,1993,NA,25,The Consistent
Czech Republic,Y,N,N,Real Estate,1997,NA,26,The Consistent
United States,N,Y,N,Food and Beverage,1889,NA,-97,The Hustler
Taiwan,N,N,N,Finance,1962,NA,NA,The Hustler
Norway,Y,N,N,Real Estate,NA,NA,NA,The Ghost
Canada,N,Y,N,Food and Beverage,1857,Relation,-75,The Consistent
Argentina,Y,N,N,Diversified,NA,NA,NA,The Consistent
United States,N,Y,N,Media,1925,Founder,-9,The Consistent
Hong Kong,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent
United States,Y,Y,N,Media,1970,Founder,32,The Consistent
South Korea,Y,N,N,Construction and Engineering,1983,Founder,43,The Consistent
Saudi Arabia,Y,N,Y,Diversified,1969,NA,29,The Consistent
United States,N,Y,Y,Investments,1975,Founder,34,The Hustler
France,N,N,N,Fashion and Retail,1837,NA,-106,The Consistent
China,Y,N,N,Health care,1971,NA,27,The Consistent
Thailand,N,N,N,Media,NA,Relation,NA,The Consistent
China,Y,N,N,Diversified,NA,Founder,NA,The Consistent
Sweden,N,N,N,Diversified,1939,NA,-10,The Consistent
United States,Y,Y,Y,Software,1983,Founder,31,The Consistent
China,Y,N,N,Health care,NA,NA,NA,The Consistent
United States,Y,Y,N,Software,2004,Vice President,49,The Consistent
United Kingdom,Y,Y,N,Diversified,NA,Founder,NA,The Consistent
United States,Y,Y,Y,Technology,1935,NA,-22,The Consistent
Canada,Y,Y,N,Fashion and Retail,1998,Founder,42,The Consistent
