Name,Worth,Age,Country,Self_Made,dropped_out,bachelors_degree,masters_degree,MBA,phd_or_professional_degree,other_degrees,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector,Gender,detail1,detail2,number_of_degress,presence_on_list,Continent/Region
Leon G. Cooperman,3,73,United States,Y,N,Y,N,Y,N,NA,2008,10,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Hunter College; Master of Business Administration, Columbia Business School",2,100%,North America
Allan Goldman,3,74,United States,N,,,,,,,2017,1,0,0,0,Real Estate,male,real estate,NA,NA,100%,North America
Jane Goldman,3,61,United States,N,,,,,,,2017,1,0,0,0,Real Estate,female,real estate,NA,NA,100%,North America
Amy Goldman Fowler,3,62,United States,N,,,,,,,2017,1,0,0,0,Real Estate,female,real estate,NA,NA,100%,North America
Tom Golisano,3,75,United States,Y,N,Y,N,N,N,N,2011,7,0,0,0,Service,male,"payroll services, Self Made","Associate in Arts / Science, SUNY Tech Alfred",1,100%,North America
Diane Kemper,3,71,United States,N,,,,,,,2017,1,0,0,0,Real Estate,female,real estate,NA,NA,100%,North America
Kenneth Langone,3,81,United States,Y,N,Y,N,Y,N,NA,2007,9,1,1,2,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Bucknell University; Master of Business Administration, Leonard N. Stern School of Business",2,82%,North America
James Leprino,3,79,United States,N,,,,,,,2007,11,0,0,0,Food and Beverage,male,cheese,NA,NA,100%,North America
"Henry Nicholas, III.",3,57,United States,Y,N,Y,Y,N,Y,NA,2007,11,0,0,0,Technology,male,"semiconductors, Self Made","Bachelor of Arts / Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",3,100%,North America
Robert Pera,3,39,United States,Y,N,Y,Y,N,N,NA,2012,5,1,1,1,Technology,male,"wireless networking gear, Self Made","Bachelor of Arts / Science, University of California, San Diego; Master of Science, University of California, San Diego",2,83%,North America
Haim Saban,3,72,United States,Y,N,N,N,N,N,N,2007,11,0,0,0,Media,male,"TV network, investments, Self Made","Diploma, High School",1,100%,North America
Howard Schultz,3,63,United States,Y,N,Y,N,N,N,NA,2007,7,1,1,4,Food and Beverage,male,"Starbucks, Self Made","Bachelor of Arts / Science, Northern Michigan University",1,64%,North America
Romesh T. Wadhwani,3,69,United States,Y,N,Y,Y,N,Y,NA,2010,8,0,0,0,Technology,male,"software, Self Made","Doctorate, Carnegie Mellon University; Bachelor of Arts / Science, Indian Institute of Technology, Bombay; Master of Science, Carnegie Mellon University",3,100%,North America
Oprah Winfrey,3,63,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Media,female,"TV shows, Self Made","Bachelor of Arts / Science, Tennessee State University",1,100%,North America
Lee Bass,2.9,60,United States,N,N,Y,N,Y,N,NA,2007,11,0,0,0,Energy,male,"oil, investments","Bachelor of Arts / Science, Yale University; Master of Business Administration, Wharton School",2,100%,North America
"Edward DeBartolo, Jr.",2.9,70,United States,N,N,Y,N,N,N,NA,2007,10,1,1,1,Real Estate,male,shopping centers,"Bachelor of Arts / Science, Notre Dame University",1,91%,North America
Tilman Fertitta,2.9,59,United States,Y,Y,N,N,N,N,NA,2012,6,0,0,0,Food and Beverage,male,"restaurants, casinos, Self Made","Drop Out, Texas Tech University; Drop Out, University of Houston",1,100%,North America
Kieu Hoang,2.9,72,United States,Y,,,,,,,2014,2,1,0,0,Health care,male,"medical products, Self Made",NA,NA,50%,North America
Min Kao,2.9,68,United States,Y,N,Y,Y,N,Y,NA,2007,10,1,1,1,Manufacturing,male,"navigation equipment, Self Made","Bachelor of Arts / Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",3,91%,North America
Douglas Leone,2.9,59,United States,Y,N,Y,Y,Y,N,NA,2015,3,0,0,0,Venture Capital,male,"venture capital, Self Made","Bachelor of Arts / Science, Cornell University; Master of Science, Columbia University; Master of Business Administration, Sloan School of Management",3,100%,North America
Daniel Loeb,2.9,55,United States,Y,N,Y,N,N,N,NA,2012,6,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Columbia University",1,100%,North America
Mark Shoen,2.9,66,United States,N,,,,,,,2014,4,0,0,0,Automotive,male,U-Haul,NA,NA,100%,North America
Anita Zucker,2.9,65,United States,N,N,Y,Y,N,N,NA,2011,7,0,0,0,Manufacturing,female,chemicals,"Bachelor of Arts / Science, University of Florida; Master of Arts, University of North Florida",2,100%,North America
Mortimer Zuckerman,2.9,79,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Real Estate,male,"real estate, media, Self Made","Bachelor of Arts / Science, McGill University; LLM, Harvard University; Master of Business Administration, Wharton School",3,100%,North America
Sid Bass,2.8,75,United States,N,N,Y,N,Y,N,NA,2007,11,0,0,0,Energy,male,"oil, investments","Bachelor of Arts / Science, Yale University; Master of Business Administration, Stanford University",2,100%,North America
Jim Breyer,2.8,55,United States,Y,N,Y,N,Y,N,NA,2012,6,0,0,0,Investments,male,"venture capital, Self Made","Bachelor of Arts / Science, Stanford University; Master of Business Administration, Harvard Business School",2,100%,North America
Do Won & Jin Sook Chang,2.8,61,United States,Y,N,N,N,N,N,N,2017,1,0,0,0,Fashion and Retail,family,"fashion retail, Self Made","Diploma, High School",1,100%,North America
Charles Cohen,2.8,65,United States,N,N,Y,N,N,Y,NA,2017,1,0,0,0,Real Estate,male,real estate,"Bachelor of Arts / Science, Tufts University; Doctor of Jurisprudence, Brooklyn Law School",2,100%,North America
Barry Diller,2.8,75,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Media,male,"online media, Self Made","Drop Out, University of California, Los Angeles",0,100%,North America
B. Wayne Hughes,2.8,83,United States,Y,N,Y,N,N,N,NA,2013,5,0,0,0,Service,male,"self storage, Self Made","Bachelor of Arts / Science, University of Southern California",1,100%,North America
John Middleton,2.8,62,United States,N,N,Y,N,Y,N,NA,2016,2,0,0,0,Retail,male,tobacco,"Bachelor of Arts / Science, Amherst College; Master of Business Administration, Harvard University",2,100%,North America
A. Jerrold Perenchio,2.8,86,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Media,male,"television, Univision, Self Made","Bachelor of Arts / Science, University of California, Los Angeles",1,100%,North America
Jorge Perez,2.8,67,United States,Y,N,Y,Y,N,N,NA,2007,7,1,1,4,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, CW Post College; Master of Science, University of Michigan",2,64%,North America
Herbert Simon,2.8,82,United States,Y,N,Y,N,N,N,NA,2007,10,1,1,1,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, City College of New York",1,91%,North America
Pat Stryker,2.8,61,United States,N,Y,N,N,N,N,NA,2007,11,0,0,0,Health care,female,medical equipment,"Drop Out, University of Northern Colorado",0,100%,North America
"William Wrigley, Jr.",2.8,53,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Food and Beverage,male,chewing gum,"Bachelor of Arts / Science, Duke University",1,100%,North America
John Brown,2.7,82,United States,Y,N,Y,N,N,N,NA,2007,10,1,1,1,Health care,male,"medical equipment, Self Made","Bachelor of Science in Engineering, Auburn University",1,91%,North America
Ray Davis,2.7,75,United States,Y,,,,,,,2010,8,0,0,0,Energy,male,"pipelines, Self Made",NA,NA,100%,North America
Joshua Harris,2.7,52,United States,Y,N,Y,N,Y,N,NA,2008,9,1,1,1,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, University of Pennsylvania Wharton School; Master of Business Administration, Harvard University",2,90%,North America
Jen-Hsun Huang,2.7,54,United States,Y,N,Y,Y,N,N,NA,2017,1,0,0,0,Technology,male,"semiconductors, Self Made","Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University",2,100%,North America
H. Wayne Huizenga,2.7,79,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Investments,male,"investments, Self Made","Drop Out, Calvin College",0,100%,North America
Johnelle Hunt,2.7,85,United States,Y,Y,N,N,N,N,NA,2008,9,1,1,1,Logistics,female,"trucking, Self Made","Drop Out, University of Central Arkansas",0,90%,North America
David Murdock,2.7,94,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Food and Beverage,male,"Dole, real estate, Self Made","Drop Out, High School",0,100%,North America
Marc Rowan,2.7,54,United States,Y,N,Y,N,Y,N,NA,2008,9,1,1,1,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, University of Pennsylvania; Master of Business Administration, Wharton School",2,90%,North America
Paul Singer,2.7,72,United States,Y,N,Y,N,N,Y,NA,2012,6,0,0,0,Investments,male,"hedge funds, Self Made","Doctor of Jurisprudence, Harvard University; Bachelor of Arts / Science, University of Rochester",2,100%,North America
Peter Thiel,2.7,49,United States,Y,N,Y,N,N,Y,NA,2008,9,1,1,1,Investments,male,"Facebook, Palantir, Self Made","Bachelor of Arts / Science, Stanford University; Doctor of Jurisprudence, Stanford University",2,90%,North America
Tom Benson,2.6,89,United States,Y,N,N,N,N,N,N,2011,7,0,0,0,Sports,male,"New Orleans Saints, Self Made","Diploma, High School",1,100%,North America
Robert Duggan,2.6,72,United States,Y,Y,N,N,N,N,NA,2013,5,0,0,0,Health care,male,"pharmaceuticals, Self Made","Drop Out, University of California, Santa Barbara; Drop Out, University of California, Los Angeles",1,100%,North America
Doris Fisher,2.6,85,United States,Y,N,Y,N,N,N,NA,2010,8,0,0,0,Fashion and Retail,female,"Gap, Self Made","Bachelor of Arts / Science, Stanford University",1,100%,North America
Bill Haslam,2.6,58,United States,N,N,Y,N,N,N,NA,2015,3,0,0,0,Service,male,truck stops,"Bachelor of Arts / Science, Emory University",1,100%,North America
Henry Hillman,2.6,98,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,investments,"Bachelor of Arts / Science, Princeton University",1,100%,North America
"Stephen Mandel, Jr.",2.6,61,United States,Y,N,Y,N,Y,N,NA,2008,10,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter",3,100%,North America
Sean Parker,2.6,37,United States,Y,N,N,N,N,N,N,2011,7,0,0,0,Technology,male,"Facebook, Self Made","Diploma, High School",1,100%,North America
John Arrillaga,2.5,80,United States,Y,N,Y,N,N,N,NA,2008,10,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, Stanford University",1,100%,North America
George Bishop,2.5,79,United States,Y,,,,,,,2014,4,0,0,0,Energy,male,"oil & gas, Self Made",NA,NA,100%,North America
David Bonderman,2.5,74,United States,Y,N,Y,N,N,Y,NA,2008,10,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, University of Washington; Doctor of Jurisprudence, Harvard University",2,100%,North America
Peter Buck,2.5,86,United States,Y,N,Y,Y,N,Y,NA,2007,11,0,0,0,Food and Beverage,male,"Subway sandwich shops, Self Made","Bachelor of Arts / Science, Bowdoin College; Doctorate, Columbia University; Master of Arts, Columbia University",3,100%,North America
"William Conway, Jr.",2.5,67,United States,Y,N,Y,N,Y,N,NA,2008,10,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Dartmouth College; Master of Business Administration, Booth School of Business",2,100%,North America
Daniel D'Aniello,2.5,70,United States,Y,N,Y,N,Y,N,NA,2008,10,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Syracuse University; Master of Business Administration, Harvard University",2,100%,North America
Jim Davis,2.5,57,United States,Y,N,Y,N,N,N,NA,2015,3,0,0,0,Manufacturing,male,"New Balance, Self Made","Bachelor of Arts / Science, Middlebury College",1,100%,North America
Kenneth Feld,2.5,68,United States,N,N,Y,N,N,N,NA,2014,4,0,0,0,Media,male,"circus, live entertainment","Bachelor of Arts / Science, Boston University",1,100%,North America
Bill Gross,2.5,73,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Finance,male,"investments, Self Made","Bachelor of Arts / Science, Duke University; Master of Business Administration, Anderson School of Management",2,100%,North America
Don Hankey,2.5,73,United States,Y,N,Y,N,N,N,NA,2014,4,0,0,0,Automotive,male,"auto loans, Self Made","Bachelor of Arts / Science, University of Southern California",1,100%,North America
John Henry,2.5,67,United States,Y,,,,,,,2009,8,1,1,1,Sports,male,"sports, Self Made",NA,NA,89%,North America
James Irsay,2.5,57,United States,N,N,Y,N,N,N,NA,2009,9,0,0,0,Sports,male,Indianapolis Colts,"Bachelor of Arts / Science, Southern Methodist University",1,100%,North America
Bob Parsons,2.5,66,United States,Y,N,Y,N,N,N,NA,2012,6,0,0,0,Technology,male,"web hosting, Self Made","Bachelor of Arts / Science, University of Baltimore",1,100%,North America
Jay Paul,2.5,69,United States,Y,,,,,,,2015,3,0,0,0,Real Estate,male,"real estate, Self Made",NA,NA,100%,North America
Richard Peery,2.5,78,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Real Estate,male,"real estate, Self Made","Bachelor of Arts / Science, Brigham Young University",1,100%,North America
Jean (Gigi) Pritzker,2.5,54,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Service,female,"hotels, investments","Bachelor of Arts / Science, Stanford University",1,100%,North America
Penny Pritzker,2.5,57,United States,N,N,Y,N,Y,Y,NA,2007,11,0,0,0,Investments,female,"hotels, investments","Bachelor of Arts / Science, Harvard University; Doctor of Jurisprudence, Stanford University; Master of Business Administration, Stanford Graduate School of Business",3,100%,North America
"Wilbur Ross, Jr.",2.5,79,United States,Y,N,Y,N,Y,N,NA,2013,5,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Yale University; Master of Business Administration, Harvard University",2,100%,North America
David Rubenstein,2.5,67,United States,Y,N,Y,N,N,Y,NA,2008,10,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Duke University; Doctor of Jurisprudence, University of Chicago",2,100%,North America
Phillip Ruffin,2.5,82,United States,Y,N,N,N,N,N,N,2007,11,0,0,0,Diversified,male,"casinos, real estate, Self Made","Diploma, High School",1,100%,North America
Patrick Ryan,2.5,79,United States,Y,N,Y,N,N,N,NA,2008,10,0,0,0,Finance,male,"insurance, Self Made","Bachelor of Arts / Science, Northwestern University",1,100%,North America
E. Joe Shoen,2.5,67,United States,N,,,,,,,2015,3,0,0,0,Logistics,male,U-Haul,NA,NA,100%,North America
Thomas Siebel,2.5,64,United States,Y,N,Y,Y,Y,N,NA,2007,11,0,0,0,Technology,male,"business software, Self Made","Bachelor of Arts / Science, University of Illinois, Urbana-Champaign; Master of Science, University of Illinois, Urbana-Champaign; Master of Business Administration, University of Illinois, Urbana-Champaign College of Business",3,100%,North America
Robert Smith,2.5,54,United States,Y,N,Y,N,Y,N,NA,2016,2,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Cornell University; Master of Business Administration, Columbia University",2,100%,North America
Warren Stephens,2.5,60,United States,N,N,Y,N,Y,N,NA,2010,8,0,0,0,Investments,male,investment banking,"Bachelor of Arts / Science, Washington & Lee University; Master of Business Administration, Wake Forest University School of Business",2,100%,North America
Jon Stryker,2.5,58,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Health care,male,medical equipment,"Bachelor of Arts / Science, Kalamazoo College; Master of Architecture, University of California Berkeley",2,100%,North America
Mark Walter,2.5,56,United States,Y,N,Y,N,N,Y,NA,2015,3,0,0,0,Finance,male,"finance, Self Made","Bachelor of Arts / Science, Creighton University; Doctor of Jurisprudence, Northwestern University",2,100%,North America
Ty Warner,2.5,72,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Real Estate,male,"real estate, plush toys, Self Made","Drop Out, Kalamazoo College",0,100%,North America
Steve Wynn,2.5,75,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Gaming,male,"casinos, hotels, Self Made","Bachelor of Arts / Science, University of Pennsylvania",1,100%,North America
Judy Faulkner,2.4,73,United States,Y,N,Y,Y,N,N,NA,2012,6,0,0,0,Health care,female,"health IT, Self Made","Bachelor of Arts / Science, Dickinson College; Master of Science, University of Wisconsin",2,100%,North America
C. Dean Metropoulos,2.4,70,United States,Y,N,Y,N,Y,N,NA,2011,7,0,0,0,Food and Beverage,male,"investments, Self Made","Bachelor of Arts / Science, Babson College; Master of Business Administration, Babson College",2,100%,North America
John Pritzker,2.4,64,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"hotels, investments","Bachelor of Arts / Science, Menlo College",1,100%,North America
"Julio Mario Santo Domingo, III.",2.4,31,United States,N,N,Y,N,N,N,NA,2007,8,1,1,3,Food and Beverage,male,beer,"Bachelor of Arts / Science, Boston University",1,73%,North America
Thomas Secunda,2.4,62,United States,Y,N,Y,N,N,N,NA,2009,9,0,0,0,Media,male,"Bloomberg LP, Self Made","Bachelor of Arts / Science, SUNY Binghamton",1,100%,North America
Alexander Spanos,2.4,93,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Real Estate,male,"real estate, San Diego Chargers, Self Made","Bachelor of Arts / Science, University of the Pacific",1,100%,North America
Denise York,2.4,66,United States,N,,,,,,,2012,5,1,1,1,Sports,female,San Francisco 49ers,NA,NA,83%,North America
Nick Caporella,2.3,81,United States,Y,,,,,,,2017,1,0,0,0,Food and Beverage,male,"beverages, Self Made",NA,NA,100%,North America
Scott Cook,2.3,64,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Technology,male,"software, Self Made","Bachelor of Arts / Science, University of Southern California; Master of Business Administration, Harvard Business School",2,100%,North America
Gerald Ford,2.3,72,United States,Y,N,Y,N,N,Y,NA,2015,3,0,0,0,Investments,male,"banking, Self Made","Bachelor of Arts / Science, Southern Methodist University; Doctor of Jurisprudence, Southern Methodist University",2,100%,North America
Noam Gottesman,2.3,55,United States,Y,N,Y,N,N,N,NA,2011,7,0,0,0,Finance,male,"hedge funds, Self Made","Bachelor of Arts / Science, Columbia University",1,100%,North America
Stanley Hubbard,2.3,83,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Media,male,DirecTV,"Bachelor of Arts / Science, University of Minnesota",1,100%,North America
Jeff Rothschild,2.3,62,United States,Y,N,Y,Y,N,N,NA,2014,4,0,0,0,Technology,male,"Facebook, Self Made","Bachelor of Arts / Science, Vanderbilt University; Master of Science, Vanderbilt University",2,100%,North America
Michael Rubin,2.3,44,United States,Y,Y,N,N,N,N,NA,2013,5,0,0,0,Fashion and Retail,male,"online retail, Self Made","Drop Out, Villanova University",0,100%,North America
Ted Turner,2.3,78,United States,Y,N,Y,N,N,N,NA,2007,10,1,1,1,Media,male,"cable television, Self Made","Bachelor of Arts / Science, Brown University",1,91%,North America
Meg Whitman,2.3,60,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Technology,female,"eBay, Self Made","Bachelor of Arts / Science, Princeton University; Master of Business Administration, Harvard Business School",2,100%,North America
Jerry Yang,2.3,48,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Technology,male,"Yahoo, Self Made","Bachelor of Arts / Science, Stanford University; Master of Science, Stanford University",2,100%,North America
George Argyros,2.2,80,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Real Estate,male,"real estate, investments, Self Made","Bachelor of Arts / Science, Chapman University",1,100%,North America
Ron Baron,2.2,73,United States,Y,N,Y,N,N,N,NA,2009,9,0,0,0,Investments,male,"money management, Self Made","Bachelor of Arts / Science, Bucknell University",1,100%,North America
John Fisher,2.2,55,United States,N,N,Y,N,Y,N,NA,2009,9,0,0,0,Fashion and Retail,male,Gap,"Bachelor of Arts / Science, Princeton University; Master of Business Administration, Stanford Graduate School of Business",2,100%,North America
Joseph Grendys,2.2,55,United States,Y,,,,,,,2014,4,0,0,0,Agriculture,male,"poultry, Self Made",NA,NA,100%,North America
Brad Kelley,2.2,60,United States,Y,N,N,N,N,N,N,2007,11,0,0,0,Real Estate,male,"tobacco, Self Made","Diploma, High School",1,100%,North America
Thomas Lee,2.2,73,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Harvard University",1,100%,North America
Jeffrey Lorberbaum,2.2,62,United States,N,N,Y,N,N,N,NA,2013,5,0,0,0,Manufacturing,male,flooring,"Bachelor of Arts / Science, University of Denver",1,100%,North America
Joe Mansueto,2.2,60,United States,Y,N,Y,N,Y,N,NA,2013,5,0,0,0,Finance,male,"investment research, Self Made","Bachelor of Arts / Science, University of Chicago; Master of Business Administration, Booth School of Business",2,100%,North America
Daniel Pritzker,2.2,57,United States,N,N,Y,N,N,Y,NA,2007,11,0,0,0,Service,male,"hotels, investments","Bachelor of Arts / Science, Tufts University; Doctor of Jurisprudence, Northwestern University",2,100%,North America
Stewart Rahr,2.2,71,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Health care,male,drug distribution,"Bachelor of Arts / Science, New York University",1,100%,North America
Dan Snyder,2.2,52,United States,Y,Y,N,N,N,N,NA,2008,10,0,0,0,Sports,male,"Washington Redskins, Self Made","Drop Out, University of Maryland",0,100%,North America
S. Daniel Abraham,2.1,92,United States,Y,N,N,N,N,N,N,2007,11,0,0,0,Food and Beverage,male,"Slim-Fast, Self Made","Diploma, High School",1,100%,North America
Todd Christopher,2.1,54,United States,Y,,,,,,,2017,1,0,0,0,Fashion and Retail,male,"hair care products, Self Made",NA,NA,100%,North America
James Coulter,2.1,57,United States,Y,N,Y,N,Y,N,NA,2008,9,1,1,1,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Dartmouth College; Master of Business Administration, Stanford University",2,90%,North America
Rakesh Gangwal,2.1,63,United States,Y,N,Y,N,Y,N,NA,2016,2,0,0,0,Automotive,male,"airline, Self Made","Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, Wharton School",2,100%,North America
Gordon Getty,2.1,83,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Energy,male,Getty Oil,"Bachelor of Arts / Science, San Francisco Conservatory of Music",1,100%,North America
Alec Gores,2.1,64,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Western Michigan University",1,100%,North America
Edward Lampert,2.1,54,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Investments,male,"Sears, Self Made","Bachelor of Arts / Science, Yale University",1,100%,North America
Arturo Moreno,2.1,70,United States,Y,N,Y,N,N,N,NA,2007,9,2,2,1,Sports,male,"billboards, Anaheim Angels, Self Made","Bachelor of Arts / Science, University of Arizona",1,82%,North America
Peter Peterson,2.1,90,United States,Y,N,Y,N,Y,N,NA,2008,10,0,0,0,Investments,male,"investments, Self Made","Bachelor of Arts / Science, Northwestern University; Master of Business Administration, Booth School of Business",2,100%,North America
Mark Stevens,2.1,57,United States,Y,N,Y,Y,Y,N,NA,2012,6,0,0,0,Investments,male,"venture capital, Self Made","Master of Business Administration, Harvard University; Bachelor of Arts / Science, University of Southern California; Master of Science, University of Southern California",3,100%,North America
William Young,2.1,76,United States,Y,N,Y,N,N,N,NA,2015,3,0,0,0,Manufacturing,male,"plastics, Self Made","Bachelor of Science in Engineering, University of Detroit",1,100%,North America
James Clark,2,73,United States,Y,N,Y,N,N,Y,NA,2007,8,1,1,3,Technology,male,"Netscape, investments, Self Made","Bachelor of Arts / Science, Louisiana State University; Doctorate, University of Utah",2,73%,North America
Glenn Dubin,2,60,United States,Y,N,Y,N,N,N,NA,2008,10,0,0,0,Investments,male,"hedge funds, Self Made","Bachelor of Arts / Science, SUNY Stony Brook",1,100%,North America
"Frank Fertitta, III.",2,55,United States,N,N,Y,N,N,N,NA,2008,6,2,2,2,Sports,male,"casinos, mixed martial arts","Bachelor of Arts / Science, University of Southern California",1,60%,North America
Lorenzo Fertitta,2,48,United States,N,N,Y,N,Y,N,NA,2008,6,2,2,2,Sports,male,"casinos, mixed martial arts","Bachelor of Arts / Science, U of San Diego; Master of Business Administration, Leonard N. Stern School of Business",2,60%,North America
James France,2,72,United States,N,N,Y,N,N,N,NA,2007,7,1,1,4,Sports,male,"Nascar, racing","Bachelor of Arts / Science, Florida Southern College",1,64%,North America
W. Herbert Hunt,2,88,United States,N,,,,,,,2014,4,0,0,0,Energy,male,oil,NA,NA,100%,North America
Bruce Karsh,2,61,United States,Y,N,Y,N,N,Y,NA,2008,8,1,1,2,Investments,male,"private equity, Self Made","Bachelor of Arts / Science, Duke University; Doctor of Jurisprudence, University of Virginia",2,80%,North America
Osman Kibar,2,46,United States,Y,N,Y,Y,N,N,NA,2017,1,0,0,0,Health care,male,"biotech, Self Made","Bachelor of Arts / Science, Pomona College; Bachelor of Arts / Science, California Institute of Technology; Master of Science, University of California, San Diego; Ph.D, University of California, San Diego",4,100%,North America
Abdulla Al Futtaim,4.1,-,United Arab Emirates,N,,,,,,,2007,11,0,0,0,Automotive,male,"auto dealers, investments",NA,NA,100%,Middle East
Abdulla bin Ahmad Al Ghurair,6.8,-,United Arab Emirates,N,,,,,,,2007,11,0,0,0,Diversified,male,diversified,NA,NA,100%,Middle East
Abilio dos Santos Diniz,3.3,80,Brazil,N,N,Y,N,N,N,NA,2007,11,0,0,0,Retail,male,retail,"Bachelor of Arts / Science, Fundacao Getulio Vargas",1,100%,South America
Acharya Balkrishna,2.5,44,India,Y,,,,,,,2017,1,0,0,0,Retail,male,"consumer goods, Self Made",NA,NA,100%,Asia
Adam Neumann,2.5,38,Israel,Y,N,N,N,N,N,Y,2016,2,0,0,0,Service,male,"WeWork, Self Made",City University of New York Baruch,1,100%,Middle East
Adi Godrej,2.5,75,India,N,N,Y,Y,N,N,NA,2007,11,0,0,0,Diversified,male,consumer goods,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",2,100%,Asia
Ajay Piramal,3.7,61,India,N,N,Y,N,Y,N,NA,2010,8,0,0,0,Health care,male,pharmaceuticals,"Bachelor of Arts / Science, Bombay University; Master of Business Administration, Bombay University",2,100%,Asia
Akio Nitori,3,73,Japan,Y,,,,,,,2011,7,0,0,0,Retail,male,"home furnishings, Self Made",NA,NA,100%,Asia
Akira Mori,4.4,80,Japan,N,,,,,,,2007,11,0,0,0,Real Estate,male,real estate,NA,NA,100%,Asia
Alain Bouchard,3.3,68,Canada,Y,,,,,,,2013,5,0,0,0,Retail,male,"retail, Self Made",NA,NA,100%,North America
Alain Merieux,4,79,France,N,,,,,,,2007,11,0,0,0,Health care,male,pharmaceuticals,NA,NA,100%,Europe
Alain Wertheimer,11.8,68,France,N,,,,,,,2014,4,0,0,0,Fashion and Retail,male,Chanel,NA,NA,100%,Europe
Albert Frere,4.9,91,Belgium,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Investments,male,"investments, Self Made","Drop Out, High School",0,100%,Europe
Alberto Bailleres Gonzalez,10.8,85,Mexico,N,,,,,,,2007,11,0,0,0,Metals and Mining,male,mining,NA,NA,100%,South America
Alejandro Bulgheroni,3.3,-,Argentina,N,,,,,,,2017,1,0,0,0,Energy,male,"Buenos Aires, Argentina",NA,NA,100%,South America
Alexander Abramov,4.5,58,Russia,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Metals and Mining,male,"steel, mining, Self Made","Bachelor of Arts / Science, Moscow Institute of Physics and Technology",1,100%,Europe
Alexander Mamut,2.5,57,Russia,Y,N,N,N,N,Y,NA,2008,9,1,1,1,Investments,male,"investments, Self Made","LLB, Moscow State University",1,90%,Europe
Alexander Nesis,2.4,54,Russia,Y,N,Y,N,N,N,NA,2010,8,0,0,0,Investments,male,"metals, banking, fertilizers, Self Made","Bachelor of Arts / Science, Leningrad Technological Institute",1,100%,Europe
Alexander Ponomarenko,3,52,Russia,Y,N,Y,Y,N,N,NA,2008,9,1,1,1,Logistics,male,"ports, Self Made","Bachelor of Arts / Science, Simferopol State University; Master of Science, Russian State Academy of Management",2,90%,Europe
