artist,FeaturedArtists,main_genre,featured_genre
Dean Martin,NA,jazz,
Platters,NA,rock,
Pat Boone,NA,rock,
Elvis Presley,NA,rock,
Elvis Presley,NA,rock,
Perry Como,NA,jazz,
Carl Perkins,NA,rock,
Tennessee Ernie Ford,NA,,
Patti Page,NA,jazz,
Fats Domino,NA,blues,
Gene Vincent,NA,rock,
Pat Boone,NA,rock,
Chordettes,NA,rock,
Perry Como,The Ray Charles Singers,jazz,
Fats Domino,NA,blues,
Bing Crosby,NA,swing,
Little Richard,NA,rock,
Nervous Norvus,NA,,
Lonnie Donegan,NA,,
Pat Boone,NA,rock,
Frank Sinatra,NA,,
Andy Williams,NA,,
Jerry Vale,NA,jazz,
Patti Page,NA,jazz,
Nat King Cole,NA,soul,
Perry Como,NA,jazz,
Platters,NA,rock,
Perry Como,The Ray Charles Singers,jazz,
Johnny Cash,NA,,
Tony Bennett,NA,jazz,
Jane Powell,NA,,
Nat King Cole,NA,soul,
Peggy Lee,NA,soul,
Fats Domino,NA,blues,
Chordettes,NA,rock,
Elvis Presley,NA,rock,
Pat Boone,NA,rock,
Jimmy Dorsey,NA,swing,
Pat Boone,NA,rock,
Elvis Presley,NA,rock,
Perry Como,The Ray Charles Singers,jazz,
Everly Brothers,NA,rock,
Elvis Presley,NA,rock,
Elvis Presley,NA,rock,
Marty Robbins,NA,,
Everly Brothers,NA,rock,
Sam Cooke,NA,soul,
Coasters,NA,rock,
Chuck Berry,NA,rock,
Ferlin Husky,NA,,
Paul Anka,NA,rock,
Ricky Nelson,NA,rock,
Jimmie Rodgers,NA,,
Jerry Lee Lewis,NA,rock,
Frankie Laine,NA,,
Johnny Mathis,NA,jazz,
Andy Williams,NA,,
Fats Domino,NA,blues,
Johnny Mathis,NA,jazz,
Nat King Cole,NA,soul,
Ricky Nelson,NA,rock,
Patti Page,NA,jazz,
Fats Domino,NA,blues,
Fats Domino,NA,blues,
Johnny Mathis,NA,jazz,
Elvis Presley,NA,rock,
Harry Belafonte,NA,,
Pat Boone,NA,rock,
Jim Reeves,NA,rock,
Tony Bennett,NA,jazz,
Coasters,NA,rock,
Andy Williams,NA,,
Chuck Berry,NA,rock,
Little Richard,NA,rock,
Pat Boone,NA,rock,
Little Richard,NA,rock,
Chuck Willis,NA,rock,
Gene Vincent,NA,rock,
Fats Domino,NA,blues,
Pat Boone,NA,rock,
Elvis Presley,NA,rock,
Perez Prado,NA,,
Tommy Edwards,NA,rnb,
Dean Martin,NA,jazz,
Platters,NA,rock,
Jimmie Rodgers,NA,,
Coasters,NA,rock,
Ricky Nelson,NA,rock,
Jimmy Clanton,NA,rnb,
Kingston Trio,NA,rock,
Chuck Berry,NA,rock,
Little Anthony and The Imperials,NA,rnb,
Jerry Lee Lewis,NA,rock,
Chordettes,NA,rock,
Bobby Darin,NA,rock,
Connie Francis,NA,rock,
Pat Boone,NA,rock,
Buddy Holly,NA,rock,
Don Gibson,NA,rock,
Big Bopper,NA,rock,
Frank Sinatra,NA,,
Elvis Presley,NA,rock,
Earl Grant,NA,,
Jimmie Rodgers,NA,,
Everly Brothers,NA,rock,
Bobby Darin,NA,rock,
Elvis Presley,NA,rock,
Andy Williams,NA,,
Ricky Nelson,NA,rock,
Chuck Willis,NA,rock,
Chuck Berry,NA,rock,
Eddie Cochran,NA,rock,
Peggy Lee,NA,soul,
Paul Anka,NA,rock,
Johnny Cash,NA,,
Pat Boone,NA,rock,
Perry Como,The Ray Charles Singers,jazz,
Pat Boone,NA,rock,
Everly Brothers,NA,rock,
Kathy Linden,NA,,
Johnny Cash,NA,,
Jerry Lee Lewis,NA,rock,
Marty Robins,NA,,
Johnny Horton,NA,rock,
Bobby Darin,NA,rock,
Paul Anka,NA,rock,
Bobby Darin,NA,rock,
Paul Anka,NA,rock,
Ritchie Valens,NA,rock,
Platters,NA,rock,
Coasters,NA,rock,
Brook Benton,NA,soul,
Connie Francis,NA,rock,
Elvis Presley,NA,rock,
Elvis Presley,NA,rock,
Thomas Wayne,NA,,
Connie Francis,NA,rock,
Ricky Nelson,NA,rock,
Elvis Presley,NA,rock,
Dinah Washington,NA,soul,
David Seville and The Chipmunks,David Seville,,
Andy Williams,NA,,
Ray Charles,NA,blues,
Sarah Vaughan,NA,jazz,
Coasters,NA,rock,
Jackie Wilson,NA,rock,
Connie Francis,NA,rock,
Platters,NA,rock,
Skyliners,NA,rnb,
David Seville and The Chipmunks,NA,,
Fats Domino,NA,blues,
Ricky Nelson,NA,rock,
Kingston Trio,NA,rock,
Ricky Nelson,NA,rock,
Coasters,NA,rock,
Ricky Nelson,NA,rock,
Bobby Rydell,NA,rock,
Elvis Presley,NA,rock,
Everly Brothers,NA,rock,
Mormon Tabernacle Choir,Eugene Ormandy,,classical/soundtrack
Jim Reeves,NA,rock,
Everly Brothers,NA,rock,
Brenda Lee,NA,rock,
Elvis Presley,NA,rock,
Elvis Presley,NA,rock,
Chubby Checker,NA,rock,
Connie Francis,NA,rock,
Bobby Rydell,NA,rock,
Marty Robbins,NA,,
Connie Francis,NA,rock,
Brenda Lee,NA,rock,
Roy Orbison,NA,rock,
Paul Anka,NA,rock,
Brook Benton,NA,soul,
Johnny Horton,NA,rock,
Sam Cooke,NA,soul,
Everly Brothers,NA,rock,
Bobby Darin,NA,rock,
Jimmy Clanton,NA,rnb,
Jackie Wilson,NA,rock,
Steve Lawrence,NA,,
Brenda Lee,NA,rock,
Bobby Rydell,NA,rock,
Andy Williams,NA,,
Brook Benton,NA,soul,
Paul Anka,NA,rock,
Connie Francis,NA,rock,
Everly Brothers,NA,rock,
Brenda Lee,NA,rock,
Fats Domino,NA,blues,
Connie Francis,NA,rock,
Bobby Rydell,NA,rock,
Dinah Washington,NA,soul,
Neil Sedaka,NA,rock,
Paul Anka,NA,rock,
Ray Charles,NA,blues,
Sam Cooke,NA,soul,
Ricky Nelson,NA,rock,
Johnny Burnette,NA,rock,
Johnny Tillotson,NA,rock,
Everly Brothers,NA,rock,
Bobby Rydell,NA,rock,
Patsy Cline,NA,rock,
Del Shannon,NA,rock,
Chubby Checker,NA,rock,
Roy Orbison,NA,rock,
Shirelles,NA,rock,
Connie Francis,NA,rock,
Ray Charles,NA,blues,
Ricky Nelson,NA,rock,
Brook Benton,NA,soul,
Marty Robbins,NA,,
"Gary ""U.S."" Bonds",NA,,
Neil Sedaka,NA,rock,
Johnny Tillotson,NA,rock,
Ferlin Husky,NA,,
Elvis Presley,NA,rock,
Ricky Nelson,NA,rock,
Capris,NA,rnb,
Elvis Presley,NA,rock,
Lee Dorsey,NA,rnb,
"Gary ""U.S."" Bonds",NA,,
Everly Brothers,NA,rock,
Pat Boone,NA,rock,
Ray Charles,NA,blues,
Ben E. King,NA,soul,
Ben E. King,NA,soul,
Ike and Tina Turner,NA,soul,
Del Shannon,NA,rock,
Chubby Checker,NA,rock,
Elvis Presley,NA,rock,
Bert Kaempfert,NA,,
Tony Orlando,NA,,
Brook Benton,NA,soul,
Connie Francis,NA,rock,
Shirelles,NA,rock,
Fats Domino,NA,blues,
Matt Monroe,NA,,
Paul Anka,NA,rock,
Bobby Rydell,NA,rock,
Brenda Lee,NA,rock,
Brenda Lee,NA,rock,
Chubby Checker,NA,rock,
Elvis Presley,NA,rock,
Don Gibson,NA,rock,
Bobby Darin,NA,rock,
Ray Charles,NA,blues,
Bobby Vinton,NA,rock,
Chubby Checker,NA,rock,
Shirelles,NA,rock,
Gene Chandler,NA,soul,
Neil Sedaka,NA,rock,
Chubby Checker,NA,rock,
Johnny Tillotson,NA,rock,
Mary Wells,NA,soul,
Elvis Presley,NA,rock,
Tommy Roe,NA,rock,
Sam Cooke,NA,soul,
Brenda Lee,NA,rock,
Nat King Cole,NA,soul,
Jay and The Americans,NA,rock,
Connie Francis,NA,rock,
Gary U.S. Bonds,NA,rnb,
Isley Brothers,NA,soul,
Shirelles,NA,rock,
Pat Boone,NA,rock,
Burl Ives,NA,,
Everly Brothers,NA,rock,
Sam Cooke,NA,soul,
Ray Charles,NA,blues,
Elvis Presley,NA,rock,
Henry Mancini,NA,jazz,
Ray Stevens,NA,,
Bobby Darin,NA,rock,
Gene Pitney,NA,rock,
Roy Orbison,NA,rock,
Joe Henderson,NA,jazz,
Chris Montez,NA,rock,
Mary Wells,NA,soul,
Brenda Lee,NA,rock,
Jimmy Clanton,NA,rnb,
Paul Anka,NA,rock,
Patsy Cline,NA,rock,
Burl Ives,NA,,
Gary U.S. Bonds,NA,rnb,
Bobby Rydell,NA,rock,
Kingston Trio,NA,rock,
Gene Pitney,NA,rock,
"Peter, Paul and Mary",NA,rock,
Beach Boys,NA,rock,
Beach Boys,NA,rock,
Skeeter Davis,NA,,
Bobby Vinton,NA,rock,
Andy Williams,NA,,
Lesley Gore,NA,rock,
"Peter, Paul and Mary",NA,rock,
"Peter, Paul and Mary",NA,rock,
Al Martino,NA,jazz,
Bobby Darin,NA,rock,
Lesley Gore,NA,rock,
Eydie Gorme,NA,,
Randy,NA,,
Beach Boys,NA,rock,
Tommy Roe,NA,rock,
Skeeter Davis,NA,,
Ronettes,NA,,
Roy Orbison,NA,rock,
Henry Mancini,NA,jazz,
Bobby Vinton,NA,rock,
Lou Christie,NA,rock,
Ray Charles,NA,blues,
Shirelles,NA,rock,
Roy Orbison,NA,rock,
Brenda Lee,NA,rock,
Tony Bennett,NA,jazz,
Sam Cooke,NA,soul,
Elvis Presley,NA,rock,
Nat King Cole,NA,soul,
Jackie Wilson,NA,rock,
Marvin Gaye,NA,soul,
Rufus Thomas,NA,soul,
Johnny Mathis,NA,jazz,
Johnny Cash,NA,,
Doris Troy,NA,soul,
Lesley Gore,NA,rock,
Rolf Harris,NA,,
Nat King Cole,NA,soul,
Sam Cooke,NA,soul,
Al Martino,NA,jazz,
Steve Lawrence,NA,,
Ray Charles,NA,blues,
Martha and The Vandellas,NA,soul,
Elvis Presley,NA,rock,
Beach Boys,NA,rock,
Del Shannon,NA,rock,
Beatles,NA,rock,
Beatles,NA,rock,
Louis Armstrong,NA,jazz,
Roy Orbison,NA,rock,
Beach Boys,NA,rock,
Dean Martin,NA,jazz,
Mary Wells,NA,soul,
Supremes,NA,rock,
Barbara Streisand,NA,,
Beatles,NA,rock,
Beatles,NA,rock,
Manfred Mann,NA,rock,
Beatles,NA,rock,
Martha and The Vandellas,NA,soul,
Billy J. Kramer and The Dakotas,The Dakotas,,
Dave Clark Five,NA,rock,
Gene Pitney,NA,rock,
Jay and The Americans,NA,rock,
Peter and Gordon,NA,rock,
Supremes,NA,rock,
Dusty Springfield,NA,rock,
Lesley Gore,NA,rock,
Dionne Warwick,NA,rock,
Beatles,NA,rock,
Johnny Rivers,NA,rock,
Danny Williams,NA,,
Betty Everett,NA,soul,
Dave Clark Five,NA,rock,
Gerry and The Pacemakers,NA,rock,
Chad and Jeremy,NA,rock,
Stan Getz,Astrud Gilberto,jazz,jazz
Beatles,NA,rock,
Beatles,NA,rock,
Four Tops,NA,rock,
Bachelors,NA,,
Dave Clark Five,NA,rock,
New Christy Minstrels,NA,,
Dave Clark Five,NA,rock,
Temptations,NA,soul,
Dionne Warwick,NA,rock,
Al Martino,NA,jazz,
Roy Orbison,NA,rock,
Dean Martin,NA,jazz,
Kinks,NA,rock,
Sammy Davis Jr.,NA,swing,
Roger Miller,NA,,
Roger Miller,NA,,
Searchers,NA,rock,
Dave Clark Five,NA,rock,
Beatles,NA,rock,
Andy Williams,NA,,
Billy J. Kramer and The Dakotas,NA,,
Bobby Vinton,NA,rock,
Kingsmen,NA,,
Searchers,NA,rock,
Four Tops,NA,rock,
Rolling Stones,NA,rock,
Petula Clark,NA,rock,
Beatles,NA,rock,
Herman's Hermits,NA,rock,
Elvis Presley,NA,rock,
Temptations,NA,soul,
Beach Boys,NA,rock,
Roger Miller,NA,,
Jr. Walker and The All Stars,NA,soul,
Sonny and Cher,NA,rock,
Gary Lewis and The Playboys,NA,rock,
Herman's Hermits,NA,rock,
Supremes,NA,rock,
Herman's Hermits,NA,rock,
Seekers,NA,rock,
Byrds,NA,rock,
Sounds Orchestral,NA,,
Tom Jones,NA,,
Beatles,NA,rock,
James Brown,NA,soul,
Shirley Ellis,NA,,
Petula Clark,NA,rock,
Supremes,NA,rock,
Bob Dylan,NA,rock,
Gerry and The Pacemakers,NA,rock,
Johnny Rivers,NA,rock,
Herman's Hermits,NA,rock,
Yardbirds,NA,rock,
Beach Boys,NA,rock,
Moody Blues,NA,rock,
Shirley Bassey,NA,jazz,
Dave Clark Five,NA,rock,
Beatles,NA,rock,
Marvin Gaye,NA,soul,
Gary Lewis and The Playboys,NA,rock,
Kinks,NA,rock,
Gary Lewis and The Playboys,NA,rock,
Kinks,NA,rock,
Jackie DeShannon,NA,rock,
Tom Jones,NA,,
Sir Douglas Quintet,NA,rock,
Sam Cooke,NA,soul,
Herman's Hermits,NA,rock,
Martha and The Vandellas,NA,soul,
Yardbirds,NA,rock,
Searchers,NA,rock,
Sonny and Cher,NA,rock,
Peter and Gordon,NA,rock,
Brenda Lee,NA,rock,
Dave Clark Five,NA,rock,
Peter and Gordon,NA,rock,
Four Tops,NA,rock,
Rolling Stones,NA,rock,
Lovin' Spoonful,NA,rock,
Cher,NA,rock,
Little Anthony and The Imperials,NA,rnb,
Del Shannon,NA,rock,
Marvin Gaye,NA,soul,
Association,NA,rock,
Four Tops,NA,rock,
Monkees,NA,rock,
Supremes,NA,rock,
Johnny Rivers,NA,rock,
Lovin' Spoonful,NA,rock,
Nancy Sinatra,NA,rock,
Jimmy Ruffin,NA,soul,
Frank Sinatra,NA,,
Beatles,NA,rock,
Young Rascals,NA,rock,
Tommy James and The Shondells,NA,rock,
Percy Sledge,NA,soul,
Petula Clark,NA,rock,
Lou Christie,NA,rock,
Troggs,NA,rock,
Bobby Hebb,NA,,
Beatles,NA,rock,
Supremes,NA,rock,
Beach Boys,NA,rock,
Dusty Springfield,NA,rock,
Left Banke,NA,rock,
Lovin' Spoonful,NA,rock,
Tommy Roe,NA,rock,
Tommy Roe,NA,rock,
Hollies,NA,rock,
B.J. Thomas,NA,rock,
Temptations,NA,soul,
Standells,NA,rock,
Simon and Garfunkel,NA,rock,
Ray Charles,NA,blues,
Johnny Rivers,NA,rock,
Peter and Gordon,NA,rock,
Simon and Garfunkel,NA,rock,
Lovin' Spoonful,NA,rock,
Stevie Wonder,NA,soul,
Cher,NA,rock,
Beach Boys,NA,rock,
Rolling Stones,NA,rock,
Temptations,NA,soul,
Brenda Lee,NA,rock,
David Houston,NA,,
Bobby Darin,NA,rock,
Neil Diamond,NA,rock,
Lee Dorsey,NA,rnb,
Dionne Warwick,NA,rock,
Lou Rawls,NA,soul,
Beach Boys,NA,rock,
Supremes,NA,rock,
Bob Dylan,NA,rock,
Peter and Gordon,NA,rock,
Beatles,NA,rock,
Herman's Hermits,NA,rock,
Slim Harpo,NA,blues,
Gary Lewis and The Playboys,NA,rock,
Chris Montez,NA,rock,
Bobby Fuller Four,NA,,
Beatles,NA,rock,
Yardbirds,NA,rock,
Wilson Pickett,NA,rock,
Lulu,NA,rock,
Box Tops,NA,rock,
Bobby Gentry,NA,,
Association,NA,rock,
Monkees,NA,rock,
Doors,NA,rock,
Nancy Sinatra,NA,rock,
Young Rascals,NA,rock,
Frankie Valli,NA,rock,
Tommy James and The Shondells,NA,rock,
Aretha Franklin,NA,soul,
Stevie Wonder,NA,soul,
Buckinghams,NA,rock,
Arthur Conley,NA,soul,
Sam and Dave,NA,soul,
Association,NA,rock,
Strawberry Alarm Clock,NA,rock,
Rolling Stones,NA,rock,
Vicki Carr,NA,,
Brenton Wood,NA,,
Buffalo Springfield,NA,rock,
Supremes,NA,rock,
Supremes,NA,rock,
Beatles,NA,rock,
Engelbert Humperdinck,NA,,
Marvin Gaye and Tammi Terrell,Tammi Terrell,,
Jefferson Airplane,NA,rock,
Van Morrison,NA,rock,
Procol Harum,NA,rock,
Buckinghams,NA,rock,
Diana Ross and The Supremes,NA,soul,
Hollies,NA,rock,
Dionne Warwick,NA,rock,
Tremeloes,NA,rock,
Scott Mckenzie,NA,rock,
Cowsills,NA,rock,
Herman's Hermits,NA,rock,
Buckinghams,NA,rock,
Petula Clark,NA,rock,
Jackie Wilson,NA,rock,
Young Rascals,NA,rock,
Beatles,NA,rock,
Temptations,NA,soul,
Seekers,NA,rock,
Aretha Franklin,NA,soul,
Lesley Gore,NA,rock,
Young Rascals,NA,rock,
Hollies,NA,rock,
Spencer Davis Group,NA,rock,
Wilson Pickett,NA,rock,
Monkees,NA,rock,
Aretha Franklin,NA,soul,
Aaron Neville,NA,soul,
James Brown,NA,soul,
Ray Charles,NA,blues,
Jefferson Airplane,NA,rock,
Four Tops,NA,rock,
Sonny and Cher,NA,rock,
Janis Ian,NA,rock,
Neil Diamond,NA,rock,
Marvin Gaye and Tammi Terrell,Tammi Terrell,,
Tremeloes,NA,rock,
"Peter, Paul and Mary",NA,rock,
Electric Prunes,NA,rock,
Monkees,NA,rock,
Johnny Rivers,NA,rock,
Tommy James and The Shondells,NA,rock,
Tom Jones,NA,,
Petula Clark,NA,rock,
Neil Diamond,NA,rock,
Beatles,NA,rock,
Otis Redding,NA,soul,
Herb Alpert,NA,,
Simon and Garfunkel,NA,rock,
Jeannie C. Riley,NA,,
Doors,NA,rock,
Box Tops,NA,rock,
Sly and The Family Stone,NA,rock,
Temptations,NA,soul,
Delfonics,NA,soul,
Vogues,NA,rock,
Diana Ross and The Supremes,NA,soul,
Georgie Fame,NA,blues,
Mary Hopkin,NA,,
Steppenwolf,NA,rock,
Sergio Mendes,Fergie,,pop
Johnny Nash,NA,,
Troggs,NA,rock,
Dionne Warwick,NA,rock,
Lemon Pipers,NA,rock,
Friend and Lover,NA,,
Rolling Stones,NA,rock,
Richard Harris,NA,,
Jose Feliciano,NA,,
Percy Sledge,NA,soul,
Status Quo,NA,rock,
Blue Cheer,NA,rock,
Marvin Gaye and Tammi Terrell,Tammi Terrell,,
James Brown,NA,soul,
Bee Gees,NA,rock,
Beatles,NA,rock,
Steppenwolf,NA,rock,
Tom Jones,NA,,
Sam and Dave,NA,soul,
Sergio Mendes,NA,,
Eric Burdon,NA,rock,
Cowsills,NA,rock,
Irish Rovers,NA,,
Beatles,NA,rock,
Marvin Gaye and Tammi Terrell,Tammi Terrell,,
Dionne Warwick,NA,rock,
Manfred Mann,NA,rock,
Aretha Franklin,NA,soul,
Aretha Franklin,NA,soul,
Gary Lewis and The Playboys,NA,rock,
Big Brother and The Holding Company,Janis Joplin,rock,rock
Archies,NA,rock,
Temptations,NA,soul,
Rolling Stones,NA,rock,
Sly and The Family Stone,NA,rock,
Tommy Roe,NA,rock,
Sly and The Family Stone,NA,rock,
Tom Jones,NA,,
Tommy James and The Shondells,NA,rock,
Three Dog Night,NA,rock,
Tommy James and The Shondells,NA,rock,
Cowsills,NA,rock,
Marvin Gaye,NA,soul,
Elvis Presley,NA,rock,
Creedence Clearwater Revival,NA,rock,
Isley Brothers,NA,soul,
Neil Diamond,NA,rock,
Oliver,NA,electronic/dance,
Creedence Clearwater Revival,NA,rock,
Beatles,NA,rock,
Zager and Evans,NA,rock,
"Blood, Sweat and Tears",NA,rock,
Andy Kim,NA,,
Creedence Clearwater Revival,NA,rock,
Stevie Wonder,NA,soul,
Three Dog Night,NA,rock,
Elvis Presley,NA,rock,
Johnny Cash,NA,,
Oliver,NA,electronic/dance,
"Blood, Sweat and Tears",NA,rock,
Jackie DeShannon,NA,rock,
Doors,NA,rock,
Sammy Davis Jr.,NA,swing,
Bob Dylan,NA,rock,
Mama Cass Elliot,NA,,
Jay and The Americans,NA,rock,
Temptations,NA,soul,
Glen Campbell,NA,rock,
Lou Christie,NA,rock,
Ray Stevens,NA,,
Dionne Warwick,NA,rock,
James Brown,NA,soul,
Edwin Starr,NA,soul,
Marvin Gaye,NA,soul,
Tony Joe White,NA,blues,
Kenny Rogers,NA,rock,
Joe South,NA,rock,
Beatles,NA,rock,
Beatles,NA,rock,
Diana Ross,The Temptations,soul,soul
Marvin Gaye,NA,soul,
Tom Jones,NA,,
David Ruffin,NA,soul,
Box Tops,NA,rock,
B.J. Thomas,NA,rock,
Simon and Garfunkel,NA,rock,
Carpenters,NA,rock,
B.J. Thomas,NA,rock,
Edwin Starr,NA,soul,
Diana Ross,NA,soul,
Jackson 5,NA,soul,
Rare Earth,NA,rock,
Beatles,NA,rock,
Freda Payne,NA,,
Three Dog Night,NA,rock,
Ray Stevens,NA,,
Bread,NA,rock,
Jackson 5,NA,soul,
Jackson 5,NA,soul,
Dawn,NA,electronic/dance,
Eric Burdon,NA,rock,
Norman Greenbaum,NA,,
Temptations,NA,soul,
Jackson 5,NA,soul,
Shocking Blue,NA,rock,
John Lennon,NA,rock,
Brook Benton,NA,soul,
Kenny Rogers,NA,rock,
Chairmen Of The Board,NA,,
Edison Lighthouse,NA,,
Anne Murray,NA,rock,
Marmalade,NA,rock,
Hollies,NA,rock,
Badfinger,NA,rock,
Kinks,NA,rock,
Mungo Jerry,NA,blues,
R. Dean Taylor,NA,,
Rare Earth,NA,rock,
Four Tops,NA,rock,
Chicago,NA,rock,
Frijid Pink,NA,rock,
Chicago,NA,rock,
White Plains,NA,,
Brotherhood Of Man,NA,,
Carpenters,NA,rock,
James Taylor,NA,rock,
Gene Chandler,NA,soul,
B.J. Thomas,NA,rock,
Spinners,NA,soul,
Mountain,NA,,
Ike and Tina Turner,NA,soul,
Joe Cocker,NA,rock,
Christie,NA,,
Ides Of March,NA,,
Supremes,NA,rock,
Temptations,NA,soul,
Tom Jones,NA,,
"Crosby, Stills, Nash and Young",NA,rock,
Dionne Warwick,NA,rock,
Joe South,NA,rock,
B.B. King,NA,blues,
Glen Campbell,NA,rock,
Aretha Franklin,NA,soul,
Three Dog Night,NA,rock,
Osmonds,NA,,
Bee Gees,NA,rock,
Donny Osmond,NA,,
John Denver,NA,rock,
Temptations,NA,soul,
Dawn,NA,electronic/dance,
Janis Joplin,NA,rock,
Al Green,NA,soul,
Undisputed Truth,NA,soul,
Rolling Stones,NA,rock,
James Taylor,NA,rock,
Jean Knight,NA,soul,
Lee Michaels,NA,rock,
Joan Baez,NA,rock,
Marvin Gaye,NA,soul,
Bill Withers,NA,soul,
Tom Jones,NA,,
Murray Head,NA,,
Carpenters,NA,rock,
Donny Osmond,NA,,
Carpenters,NA,rock,
Gordon Lightfoot,NA,rock,
Carpenters,NA,rock,
Jackson 5,NA,soul,
Lynn Anderson,NA,,
Ringo Starr,NA,rock,
Nitty Gritty Dirt Band,NA,rock,
Dramatics,NA,soul,
Carly Simon,NA,rock,
Stevie Wonder,NA,soul,
Aretha Franklin,NA,soul,
Helen Reddy,NA,rock,
Osmonds,NA,,
Ike and Tina Turner,NA,soul,
Stampeders,NA,,
Bread,NA,rock,
Marvin Gaye,NA,soul,
Freda Payne,NA,,
Rare Earth,NA,rock,
Three Dog Night,NA,rock,
Andy Williams,NA,,
Olivia Newton-John,NA,rock,
Matthews' Southern Comfort,NA,,
Judy Collins,NA,rock,
Dave Edmunds,NA,rock,
Bee Gees,NA,rock,
Fortunes,NA,rock,
Jackson 5,NA,soul,
Gladys Knight and The Pips,NA,soul,
Doors,NA,rock,
Richie Havens,NA,rock,
Doors,NA,rock,
Perry Como,NA,jazz,
Roberta Flack,NA,rock,
Gilbert O'Sullivan,NA,rock,
Don McLean,NA,rock,
Sammy Davis Jr.,NA,swing,
Bill Withers,NA,soul,
Mac Davis,NA,,
Wayne Newton,NA,jazz,
Al Green,NA,soul,
Chi-Lites,NA,soul,
Chuck Berry,NA,rock,
Neil Young,NA,rock,
Staple Singers,NA,soul,
Michael Jackson,NA,pop,
Hollies,NA,rock,
Neil Diamond,NA,rock,
America,NA,rock,
Moody Blues,NA,rock,
O'Jays,NA,soul,
Osmonds,NA,,
Jonathan Edwards,NA,rock,
Elton John,NA,rock,
Michael Jackson,NA,pop,
Arlo Guthrie,NA,rock,
Johnny Nash,NA,,
Elvis Presley,NA,rock,
Betty Wright,NA,soul,
Argent,NA,rock,
Bread,NA,rock,
Dramatics,NA,soul,
Al Green,NA,soul,
T. Rex,NA,rock,
Paul Simon,NA,rock,
Roberta Flack,NA,rock,
Al Green,NA,soul,
Derek and The Dominos,NA,rock,
Aretha Franklin,NA,soul,
Cher,NA,rock,
Three Dog Night,NA,rock,
Dr. Hook and The Medicine Show,NA,rock,
Carpenters,NA,rock,
Donny Osmond,NA,,
Jim Croce,NA,rock,
Commander Cody and His Lost Planet Airmen,NA,rock,
Sonny and Cher,NA,rock,
Carly Simon,NA,rock,
Three Dog Night,NA,rock,
Alice Cooper,NA,rock,
Chicago,NA,rock,
Bill Withers,NA,soul,
Sly and The Family Stone,NA,rock,
Redbone,NA,,
Curtis Mayfield,NA,soul,
Harry Chapin,NA,rock,
Bobby Vinton,NA,rock,
Todd Rundgren,NA,rock,
Sailcat,NA,,
Yes,NA,rock,
Jackson Browne,NA,rock,
Rick Springfield,NA,rock,
Jim Croce,NA,rock,
Roberta Flack,NA,rock,
Marvin Gaye,NA,soul,
Paul McCartney,NA,rock,
Kris Kristofferson,NA,rock,
Elton John,NA,rock,
Billy Preston,NA,soul,
Carly Simon,NA,rock,
Diana Ross,NA,soul,
Helen Reddy,NA,rock,
Billy Paul,NA,soul,
Dobie Gray,NA,,
Stevie Wonder,NA,soul,
Cher,NA,rock,
Grand Funk Railroad,NA,rock,
Dr. John,NA,rock,
Stevie Wonder,NA,soul,
Paul Simon,NA,rock,
Maureen McGovern,NA,,
John Denver,NA,rock,
Stealers Wheel,NA,,
Three Dog Night,NA,rock,
O'Jays,NA,soul,
Barry White,NA,soul,
Eddie Kendricks,NA,soul,
Anne Murray,NA,rock,
Seals and Crofts,NA,rock,
George Harrison,NA,rock,
Sly and The Family Stone,NA,rock,
Jermaine Jackson,NA,disco,
Gladys Knight,NA,soul,
Spinners,NA,soul,
Elton John,NA,rock,
Gladys Knight and The Pips,NA,soul,
Deep Purple,NA,rock,
Loggins and Messina,NA,rock,
Chicago,NA,rock,
Wings,NA,rock,
Johnnie Taylor,NA,soul,
Carpenters,NA,rock,
Four Tops,NA,rock,
Stevie Wonder,NA,soul,
Al Green,NA,soul,
Curtis Mayfield,NA,soul,
Gilbert O'Sullivan,NA,rock,
Steely Dan,NA,rock,
Carpenters,NA,rock,
Gilbert O'Sullivan,NA,rock,
Steely Dan,NA,rock,
Paul Simon,NA,rock,
Timmy Thomas,NA,,
Tower Of Power,NA,soul,
Johnny Rivers,NA,rock,
Allman Brothers,NA,rock,
Temptations,NA,soul,
Helen Reddy,NA,rock,
Ohio Players,NA,soul,
Rolling Stones,NA,rock,
Johnny Nash,NA,,
Pink Floyd,NA,rock,
Pointer Sisters,NA,rock,
Edgar Winter Group,NA,rock,
David Bowie,NA,rock,
Albert Hammond,NA,,
Donny Osmond,NA,,
Temptations,NA,soul,
Barbra Streisand,NA,rock,
Terry Jacks,NA,,
Redbone,NA,,
Jackson 5,NA,soul,
Grand Funk Railroad,NA,rock,
Ray Stevens,NA,,
Elton John,NA,rock,
Mac Davis,NA,,
Aretha Franklin,NA,soul,
Kool and The Gang,NA,soul,
Maria Muldaur,NA,,
Al Wilson,NA,,
David Essex,NA,rock,
John Denver,NA,rock,
Blue Magic,NA,soul,
Blue Swede,NA,,
Paul McCartney,NA,rock,
Jim Croce,NA,rock,
John Denver,NA,rock,
Paul Anka,NA,rock,
Olivia Newton-John,NA,rock,
Gordon Lightfoot,NA,rock,
Andy Kim,NA,,
Eddie Kendricks,NA,soul,
Ringo Starr,NA,rock,
Olivia Newton-John,NA,rock,
Cher,NA,rock,
Gladys Knight and The Pips,NA,soul,
Roberta Flack,NA,rock,
Billy Preston,NA,soul,
George McCrae,NA,disco,
Carpenters,NA,rock,
